BEAT,SPEAKER,TEXT,TRAUMA_R,ENTROPY_H,BASELINE_B,ARRHYTHMIA_α,NEO_RIEMANNIAN_OP,CLINICAL_HEALTH_SCORE
1,STAGE,*** START OF THE PROJECT GUTENBERG EBOOK 14347 ***,0.0,0.3,1.0,0.7,R,9/10
2,STAGE,PLAYS BY AUGUST STRINDBERG,0.0,0.3,1.0,0.2,R,9/10
3,STAGE,SECOND SERIES,0.0,0.3,1.0,0.2,R,9/10
4,STAGE,THERE ARE CRIMES AND CRIMES,0.0,0.3,1.0,0.2,R,9/10
5,STAGE,MISS JULIA,0.0,0.3,1.0,0.2,R,9/10
6,STAGE,THE STRONGER,0.0,0.3,1.0,0.2,R,9/10
7,STAGE,CREDITORS,0.0,0.3,1.0,0.2,R,9/10
8,STAGE,PARIAH,0.0,0.3,1.0,0.2,R,9/10
9,STAGE,TRANSLATED WITH INTRODUCTIONS BY EDWIN BJÖRKMAN,0.0,0.3,1.0,0.2,R,9/10
10,STAGE,AUTHORIZED EDITION,0.0,0.3,1.0,0.2,R,9/10
11,STAGE,CONTENTS,0.0,0.3,1.0,0.2,R,9/10
12,STAGE,"Introduction to ""There Are Crimes and Crimes""",0.0,0.3,1.0,0.2,R,9/10
13,STAGE,THERE ARE CRIMES AND CRIMES,0.0,0.3,1.0,0.2,R,9/10
14,STAGE,"Introduction to ""Miss Julia""",0.0,0.3,1.0,0.2,R,9/10
15,STAGE,Author's Preface,0.0,0.3,1.0,0.2,R,9/10
16,STAGE,MISS JULIA,0.0,0.3,1.0,0.2,R,9/10
17,STAGE,"Introduction to ""The Stronger""",0.0,0.3,1.0,0.2,R,9/10
18,STAGE,THE STRONGER,0.0,0.3,1.0,0.2,R,9/10
19,STAGE,"Introduction to ""Creditors""",0.0,0.3,1.0,0.2,R,9/10
20,STAGE,CREDITORS,0.0,0.3,1.0,0.2,R,9/10
21,STAGE,"Introduction to ""Pariah""",0.0,0.3,1.0,0.2,R,9/10
22,STAGE,PARIAH,0.0,0.3,1.0,0.2,R,9/10
23,STAGE,THERE ARE CRIMES AND CRIMES,0.0,0.3,1.0,0.2,R,9/10
24,STAGE,INTRODUCTION,0.0,0.3,1.0,0.2,R,9/10
25,STAGE,"Strindberg was fifty years old when he wrote ""There Are Crimes and",0.0,0.3,1.0,0.2,R,9/10
26,STAGE,"Crimes."" In the same year, 1899, he produced three of his finest",0.0,0.3,1.0,0.2,R,9/10
