BEAT,ACT,SCENE,SPEAKER,TEXT,ENTROPY_H,TRAUMA_R,BASELINE_B,MUSICAL_MOTIF,NEO_RIEMANNIAN_OP
1,Act 1,Opening,STAGE,(Flute melody),0.3,0.01,1.0,Pastoral,R
2,Act 1,Opening,STAGE,Willy enters,0.3,0.01,0.99,Pastoral,R
3,Act 1,Opening,Linda,Willy!,0.3,0.01,0.99,Pastoral,R
4,Act 1,Opening,Willy,It's all right. I came back,0.3,0.02,0.99,Pastoral,R
5,Act 1,Kitchen_Scene,Linda,Why? What happened?,0.3,0.03,0.98,Pastoral,R
6,Act 1,Kitchen_Scene,Willy,"No, nothing happened",0.3,0.03,0.98,Pastoral,R
7,Act 1,Kitchen_Scene,Willy,I'm tired to death,0.3,0.04,0.98,Pastoral,R
8,Act 1,Boys_Bedroom,Biff,Why does Dad mock me,0.3,0.04,0.97,Pastoral,R
9,Act 1,Boys_Bedroom,Happy,He wants you to make good,0.3,0.04,0.97,Pastoral,R
10,Act 1,Flashback_Young_Boys,STAGE,Young Biff with football,0.5,0.05,0.97,Pastoral,R
11,Act 1,Flashback_Young_Boys,Willy,That's my boy!,0.5,0.06,0.96,Pastoral,R
12,Act 1,The_Woman,The Woman,I picked you,0.3,0.06,0.96,Pastoral,R
13,Act 1,The_Woman,STAGE,Willy laughing,0.3,0.07,0.96,Pastoral,R
14,Act 1,Return_to_Present,STAGE,Linda about the car,0.3,0.07,0.95,Pastoral,R
15,Act 1,Return_to_Present,STAGE,Biff comes downstairs,0.3,0.08,0.95,Pastoral,R
16,Act 2,Morning,STAGE,Willy optimistic,0.3,0.08,0.95,Pastoral,R
17,Act 2,Morning,Linda,Be careful,0.3,0.08,0.94,Pastoral,R
18,Act 2,Howard_Office,STAGE,Howard with wire recorder,0.3,0.09,0.94,Pastoral,R
19,Act 2,Howard_Office,STAGE,Willy fired,0.3,0.1,0.94,Pastoral,R
20,Act 2,Charleys_Office,STAGE,Charley offers job,0.3,0.1,0.93,Pastoral,R
21,Act 2,Charleys_Office,STAGE,Willy refuses,0.3,0.11,0.93,Pastoral,R
22,Act 2,Charleys_Office,STAGE,Bernard's success,0.3,0.11,0.93,Pastoral,R
23,Act 2,Restaurant,STAGE,Biff's failure,0.3,0.11,0.92,Pastoral,R
24,Act 2,Restaurant,STAGE,The Woman appears,0.3,0.12,0.92,Pastoral,R
25,Act 2,Restaurant,STAGE,Biff discovers affair,0.3,0.12,0.92,Pastoral,R
26,Act 2,Garden,STAGE,Willy planting seeds,0.3,0.13,0.91,Pastoral,R
27,Act 2,Garden,STAGE,Talking to Ben,0.3,0.14,0.91,Pastoral,R
28,Act 2,Garden,STAGE,Final decision,0.3,0.14,0.91,Pastoral,R
29,Requiem,Graveside,Linda,I can't understand it,0.3,0.14,0.9,Pastoral,R
30,Requiem,Graveside,Biff,He had the wrong dreams,0.3,0.15,0.9,Pastoral,R
31,Requiem,Graveside,Happy,I'm staying,0.3,0.15,0.9,Pastoral,R
32,Requiem,Graveside,Charley,Nobody dast blame this man,0.3,0.16,0.89,Pastoral,R
33,Requiem,Graveside,Linda,We're free,0.3,0.17,0.89,Pastoral,R
