id,slug,title,type,author_or_body,year_or_date,credibility,recency,bias,url_or_path
S01,iso15926_dexpi2,"DEXPI 2.0 Specification & ISO 15926-14 Plant Data Integration",primary,DEXPI e.V. & ISO/TC 184/SC 4,2025-10-10,0.95,0.95,0.10,https://dexpi.org/specifications/
S02,cyclonedx16_ecma424,"CycloneDX Bill of Materials Specification v1.6 (ECMA-424)",primary,Ecma International TC54 & OWASP,2024-06-01,0.98,0.95,0.05,https://ecma-international.org/publications-and-standards/standards/ecma-424/
S03,iec61970_cim,"IEC 61970-301 CIM Base & IEC 61970-600 CGMES",primary,IEC TC 57 / ENTSO-E,2021-08-01,0.95,0.85,0.05,https://webstore.iec.ch/publication/60126
S04,eu_cra_reg_2024_2847,"Regulation (EU) 2024/2847 on horizontal cybersecurity requirements for products with digital elements (CRA)",primary,European Parliament and Council of the EU,2024-11-20,0.99,0.95,0.02,https://eur-lex.europa.eu/eli/reg/2024/2847/oj
S05,iec62443_industrial_security,"Security for industrial automation and control systems (Parts 3-3, 4-1, 4-2)",primary,ISA / IEC,2019-02-01,0.95,0.80,0.05,https://www.isa.org/standards-and-publications/isa-standards/isa-standards-committees/isa99
S06,eigenia_three_identity_join,"The Three-Identity Join: DEXPI 2.0, CycloneDX 1.6 and IEC 61970 CIM (P1)",industry,Eigenia Working Group WG-05-CAD (J. McKenney),2026-09-07,0.90,0.99,0.15,references/WG-05-CAD-DEXPI-2/WG-05-CAD-Three-Identity-Join.md
S07,asset_administration_shell_iec63278,"Asset Administration Shell (AAS) Metamodel v3.0 / IEC 63278-1",primary,Industrial Digital Twin Association (IDTA) / IEC TC 65,2023-06-01,0.92,0.88,0.10,https://industrialdigitaltwin.org/en/content-hub/aasspecifications
S08,cisa_minimum_vex,"Minimum Requirements for Vulnerability Exploitability eXchange (VEX)",primary,CISA Cybersecurity Division,2023-04-01,0.95,0.85,0.05,https://www.cisa.gov/resources-tools/resources/minimum-requirements-vulnerability-exploitability-exchange-vex
S09,readi_iso15926_14,"ISO 15926-14 Lifecycle Integration - Functional vs Physical Objects",industry,READI JIP / Equinor,2020-09-01,0.90,0.75,0.10,https://www.readi-jip.org/wp-content/uploads/2020/10/ISO_15926-14_2020-09-READI-Deliverable.pdf
S10,neo4j_property_graphs,"The Labeled Property Graph Model for Cyber-Physical System Digital Twins",academic,ACM / IEEE Transactions on Industrial Informatics,2024-03-15,0.92,0.90,0.05,https://doi.org/10.1109/TII.2024.3361284
