ROW,LAYER,BEAT_1,BEAT_2,BEAT_3,BEAT_4,BEAT_5,BEAT_6,BEAT_7,BEAT_8,BEAT_9,BEAT_10,BEAT_11,BEAT_12,BEAT_13,BEAT_14,BEAT_15,BEAT_16,BEAT_17,BEAT_18,BEAT_19,BEAT_20
A,SPEAKER,STAGE,STAGE,STAGE,STAGE,STAGE,STAGE,STAGE,LINDA,WILLY,WILLY,LINDA,LINDA,LINDA,WILLY,LINDA,WILLY,WILLY,LINDA,WILLY,WILLY
B,TEXT,"Melody heard, flute","Small and fine, grass and trees","Curtain rises","Salesman's house","Towering angular shapes","Willy enters, sample cases","Hears but not aware","Willy!","It's all right","I came back","Why?","What happened?","Did something happen?","No, nothing happened","Didn't smash car?","I said nothing happened","Didn't you hear me?","Don't you feel well?","I'm tired to death","I couldn't make it"
C,SYMPHONIC_MOTIF,Incidental (Our Town),Pastoral,Visual Downbeat,Incidental,Dissonance (Modernity),Heartbeat (Strauss),Arrhythmia,Call (Dominant),Prankster (Denial),Return,Discord,Acceleration,Rising Sequence,Foreclosure (Void),Specific Fear,Fortissimo (Law),Sforzando,Diagnostic Shift,Death Drive,Limit Cycle
D,HEARTBEAT_H(t),0.0 (No pulse yet),0.0,System Init,1.0 (Regular),0.8 (Weakening),0.6 (Irregular),0.4 (Failing),Alert Signal,Override,Loop Attempt,Query,Probe,Deep Probe,Null Response,Crash Vector,Force Write,Feedback Check,Diagnostic,Energy = 0%,Stack Overflow
E,ARRHYTHMIA_α,0.0,0.0,0.0,0.1,0.3,0.5,0.7,0.2,0.6,0.8,0.4,0.5,0.6,0.9,0.5,1.0,0.8,0.7,∞,∞
F,MISCHIEF_M(t),0.0,0.0,0.0,0.0,0.1,0.2,0.3,0.0,0.8 (Denial),0.7,0.1,0.2,0.3,0.9 (Lie),0.2,1.0 (Aggression),0.6,0.1,0.0,0.0
G,BASELINE_B(t),1.0 (Pure),1.0,1.0 (Frame),0.9 (Fragile),0.3 (Disrupted),0.2,0.1,0.8 (Care),0.4,0.3,0.7,0.6,0.5,0.1,0.6,0.2,0.3,0.7,0.1,0.0
H,AWAKENING_A(t),Deep C (Primal),Resonance,Curtain = t0,House Online,City Pressure,Boot Crash,Dissociation,Interrupt,Mask,Loop Fail,Adversarial,Deep Search,Probe Layer,Null Set,Feature Extract,Force Command,Status Check,Bio Mode,Low Battery,Error Loop
I,GTTM_MUSIC_THEORY,"Ursatz, Tonic (I)","Motivic Prolongation, Pastoral","Visual Downbeat, t=0","Harmonic Setting, Fragile","Polyphonic Dissonance, Bitonality","Crash, Hypermetric Downbeat, Dim7","Metrical Dissonance, Polyrhythm","Call, Dominant (V)","Deceptive Cadence, vi","Reiteration, False Tonic","Discord, Non-chord tone","Acceleration, Time-span shrinks","Rising Sequence, Chromatic","Rest (Void), Silence","Specific Dissonance, Tritone","Fortissimo, Dynamic spike","Sforzando, Sharp attack","Modulation Minor, B Minor","Glissando, Descending","Ostinato, Static loop"
J,LACAN_TOPOLOGY,"Open Manifold, $$ whole","Pre-Symbolic, Real unsliced","Frame, Phantasm (⋄a)","Locus, Ego-Ideal I(A)","Big Other (A), Law crushes","Catastrophe, R punctures I","Split Subject ($$)","Interpellation, Naming","Negation (¬), A=A asserted","Return, Broken trajectory","Hysteric Question, $ interrogates S1","Demand for Cause (a)","Iteration, Truth demand","Foreclosure, Naming ∅","Naming Real, Car=Body/Drive","Master Signifier S1, Law imposed","Demand Recognition, S1 needs A","Imaginary Shift, Evading Real","Death Drive, Bad Infinite","Limit Cycle, Circles Hole (a)"
